,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
32,33,DeMar DeRozan,TOR,82,34.8,17.2,6.6,14.1,46.7,0.1,0.6,9.6,4.0,4.9,81.3,0.9,2.9,3.8,1.8,1.0,0.4,1.8,14.1
33,34,Chauncey Billups,NYK,72,32.1,16.8,4.7,11.0,42.7,2.0,5.0,40.2,5.3,5.8,91.6,0.3,2.3,2.6,5.4,1.0,0.2,2.5,16.7
34,35,Josh Smith,ATL,77,34.4,16.5,6.5,13.5,47.7,0.7,2.0,33.1,3.0,4.1,72.5,1.7,6.8,8.5,3.3,1.3,1.6,2.6,20.5
35,36,Ray Allen,BOS,80,36.1,16.5,6.0,12.2,49.1,2.1,4.7,44.4,2.4,2.7,88.1,0.6,2.8,3.4,2.7,1.0,0.2,1.5,15.8
36,37,David Lee,GSW,73,36.1,16.5,6.8,13.4,50.7,0.0,0.0,33.3,2.9,3.7,78.7,3.0,6.8,9.8,3.2,1.0,0.4,2.3,21.2
37,38,Dorell Wright,GSW,82,38.4,16.4,5.9,14.0,42.3,2.4,6.3,37.6,2.2,2.8,78.9,1.1,4.2,5.3,3.0,1.5,0.8,1.6,16.6
38,39,Wesley Matthews,POR,82,33.6,15.9,5.4,11.9,44.9,1.9,4.6,40.7,3.2,3.8,84.4,0.6,2.6,3.1,2.0,1.2,0.1,1.7,13.5
39,40,Chris Paul,NOH,80,36.0,15.9,5.4,11.6,46.3,0.9,2.3,38.8,4.2,4.8,87.8,0.5,3.6,4.1,9.8,2.4,0.1,2.2,23.1
40,41,Jason Terry,DAL,82,31.3,15.8,6.0,13.3,45.1,1.5,4.3,36.2,2.2,2.6,85.0,0.3,1.6,1.9,4.1,1.1,0.2,2.0,13.3
41,42,Gerald Wallace,POR,71,37.9,15.7,5.4,12.0,45.4,0.9,2.6,33.3,3.9,5.3,74.6,1.6,6.5,8.0,2.4,1.5,0.9,2.1,18.5
42,43,Jason Richardson,ORL,80,33.9,15.6,5.9,13.2,44.7,2.4,6.0,39.5,1.5,2.0,73.0,0.8,3.3,4.1,1.8,1.2,0.2,1.2,13.9
43,44,Raymond Felton,DEN,75,36.5,15.5,5.7,13.4,42.5,1.5,4.4,35.3,2.6,3.2,80.5,0.6,2.9,3.6,8.3,1.7,0.1,2.9,18.0
44,45,Rodney Stuckey,DET,70,31.2,15.5,5.2,11.8,43.9,0.4,1.3,28.9,4.7,5.4,86.6,1.0,2.1,3.1,5.2,1.1,0.1,2.2,15.4
45,46,Al Horford,ATL,77,35.1,15.3,6.7,12.0,55.7,0.0,0.1,50.0,1.9,2.4,79.8,2.4,7.0,9.3,3.5,0.8,1.0,1.5,22.5
46,47,Wilson Chandler,DEN,72,33.3,15.3,6.0,13.2,45.0,1.6,4.4,35.0,1.8,2.2,80.7,1.0,4.6,5.7,1.7,0.7,1.3,1.4,15.4
47,48,Devin Harris,UTA,71,31.7,15.2,4.8,11.5,42.2,0.8,2.5,32.2,4.7,5.7,83.3,0.2,2.1,2.4,7.1,1.0,0.1,2.9,15.3
48,49,Elton Brand,PHI,81,34.7,15.0,6.2,12.1,51.2,0.0,0.0,0.0,2.6,3.4,78.0,2.9,5.4,8.3,1.5,1.1,1.3,1.2,19.4
49,50,Kevin Garnett,BOS,71,31.3,14.9,6.1,11.6,52.8,0.0,0.1,20.0,2.6,3.1,86.2,1.2,7.7,8.9,2.4,1.3,0.8,1.6,20.8
50,51,Steve Nash,PHX,75,33.3,14.7,5.3,10.8,49.2,1.1,2.7,39.5,3.0,3.3,91.2,0.5,2.9,3.5,11.4,0.6,0.1,3.5,21.0
51,52,Nene,DEN,75,30.5,14.5,5.4,8.7,61.5,0.0,0.1,20.0,3.8,5.4,71.1,1.9,5.7,7.6,2.0,1.1,1.0,1.8,19.5
52,53,Lamar Odom,LAL,82,32.2,14.4,5.8,10.9,53.0,0.8,2.2,38.2,2.0,3.0,67.5,2.1,6.5,8.7,3.0,0.6,0.7,1.7,19.6
53,54,D.J. Augustin,CHA,82,33.6,14.4,4.9,11.7,41.6,1.4,4.1,33.3,3.3,3.6,90.6,0.5,2.3,2.7,6.1,0.7,0.0,1.9,14.8
54,55,Jamal Crawford,ATL,76,30.2,14.2,4.8,11.5,42.1,1.6,4.6,34.1,2.9,3.4,85.4,0.3,1.4,1.7,3.2,0.8,0.2,1.9,10.9
55,56,DeMarcus Cousins,SAC,81,28.5,14.1,5.3,12.4,43.0,0.0,0.2,16.7,3.4,5.0,68.7,2.7,6.0,8.6,2.5,1.0,0.8,3.3,15.2
56,57,Tayshaun Prince,DET,78,32.8,14.1,6.1,12.8,47.3,0.4,1.3,34.7,1.5,2.2,70.2,1.0,3.2,4.2,2.8,0.4,0.5,1.1,13.5
