,#,team,gp,w,l,min,"est. 
offrtg","est. 
defrtg","est. 
netrtg","est. 
ast ratio","est. 
oreb%","est. 
dreb%","est. 
reb%","est. 
tov%","est. 
pace",season
13,14,Chicago Bulls,82,41,41,3981,101.3,100.2,1.0,16.9,26.3,74.7,50.6,15.5,95.70,'05-06
14,14,Indiana Pacers,82,41,41,3946,101.6,99.9,1.7,16.0,27.1,72.6,50.5,16.5,92.00,'05-06
15,14,Utah Jazz,82,41,41,3976,100.8,104.5,-3.6,16.9,32.4,73.2,52.6,17.2,90.40,'05-06
16,17,Milwaukee Bucks,82,40,42,3971,103.3,105.0,-1.7,16.8,27.3,74.6,50.5,15.4,93.60,'05-06
17,18,Philadelphia 76ers,82,38,44,3981,103.7,104.8,-1.2,15.8,25.6,71.3,48.5,14.8,95.10,'05-06
18,18,New Orleans/Oklahoma City Hornets,82,38,44,3961,100.6,104.4,-3.8,15.1,26.9,73.4,49.5,14.5,91.30,'05-06
19,20,Orlando Magic,82,36,46,3981,103.6,104.7,-1.1,15.0,28.5,72.5,51.1,16.5,90.70,'05-06
20,21,Seattle SuperSonics,82,35,47,3966,107.4,111.3,-3.9,16.0,30.4,69.0,49.4,15.4,94.50,'05-06
21,22,Golden State Warriors,82,34,48,3966,101.9,103.5,-1.6,15.9,26.9,71.6,48.7,14.6,95.80,'05-06
22,22,Houston Rockets,82,34,48,3966,98.9,100.6,-1.7,15.8,25.5,74.6,50.5,16.0,90.40,'05-06
23,24,Boston Celtics,82,33,49,3976,102.5,104.0,-1.5,16.4,25.5,72.8,49.7,17.3,94.70,'05-06
24,24,Minnesota Timberwolves,82,33,49,3971,99.6,101.7,-2.1,16.9,25.2,71.3,48.9,15.7,91.30,'05-06
25,26,Toronto Raptors,82,27,55,3991,106.7,109.7,-3.0,15.5,25.4,73.3,48.3,13.8,93.50,'05-06
26,27,Charlotte Bobcats,82,26,56,3981,99.5,104.2,-4.7,15.9,27.1,70.7,47.5,14.6,96.00,'05-06
27,27,Atlanta Hawks,82,26,56,3976,103.8,108.3,-4.5,15.5,31.4,69.5,49.9,16.7,93.00,'05-06
28,29,New York Knicks,82,23,59,3986,101.1,108.4,-7.3,14.2,31.2,72.8,51.8,18.7,93.20,'05-06
29,30,Portland Trail Blazers,82,21,61,3946,97.9,109.4,-11.5,15.1,26.6,68.2,47.1,16.2,90.10,'05-06
0,1,Dallas Mavericks,82,67,15,3951,108.5,100.6,7.9,16.0,28.7,75.0,52.4,15.1,91.90,'06-07
1,2,Phoenix Suns,82,61,21,3981,111.4,103.4,8.0,19.3,22.7,71.9,48.6,14.7,98.10,'06-07
